1,32,95,12
2,67,64,23
3,83,38,12
4,78,56,13
5,83,49,6
6,119,40,13
7,68,20,12
8,136,41,14
9,43,8,15
10,52,67,8
11,68,72,23
12,36,69,9
13,98,68,15
14,108,82,9
15,86,32,9
16,58,88,14
17,30,64,18
18,18,115,13
19,85,89,7
20,104,57,8
21,39,122,11
22,63,82,18
23,93,75,12
24,99,33,11
25,70,55,26
26,106,65,8
27,61,68,29
28,80,42,13
29,115,65,8
30,93,52,12
31,99,28,11
32,54,73,21
33,109,45,12
34,66,60,9
35,75,66,23
36,28,77,10
37,55,9,15
38,83,23,12
39,65,13,14
40,40,83,16
41,40,77,22
42,65,6,14
43,89,83,5
44,47,92,9
45,54,101,7
46,108,74,8
47,16,106,14
48,73,61,12
49,57,96,13
50,5,90,15
51,103,71,5
52,75,29,12
53,82,82,3
54,78,49,14
55,140,76,15
56,41,65,15
57,46,80,16
58,27,55,11
59,66,95,5
60,76,106,8
61,88,47,10
62,110,106,10
63,32,85,9
64,94,95,5
65,116,77,8
66,76,95,9
67,100,79,5
68,83,73,16
69,72,25,12
70,83,12,15
71,100,50,13
72,89,39,8
73,120,91,11
74,37,61,14
75,127,55,12
76,80,32,12
77,90,68,21
78,76,74,18
79,47,72,13
80,99,73,9
81,93,60,15
82,126,27,14
83,61,74,47
84,101,45,18
85,54,81,21
86,30,112,10
87,76,89,4
88,73,118,9
89,82,66,20
90,94,46,9
91,99,59,7
92,72,90,10
93,70,78,8
94,53,86,6
95,26,69,13
96,20,92,12
97,65,89,10
98,14,68,15
99,74,83,20
